# train_loss,train_accuracy
7.480388879776000977e-01,4.799999892711639404e-01
7.226423621177673340e-01,5.199999809265136719e-01
6.925411224365234375e-01,5.799999833106994629e-01
7.467926144599914551e-01,5.000000000000000000e-01
7.547767758369445801e-01,4.000000059604644775e-01
7.318948507308959961e-01,5.199999809265136719e-01
7.346559762954711914e-01,5.199999809265136719e-01
6.571119427680969238e-01,6.999999880790710449e-01
7.525001168251037598e-01,4.799999892711639404e-01
7.562499642372131348e-01,4.600000083446502686e-01
7.260728478431701660e-01,5.400000214576721191e-01
7.276043295860290527e-01,5.199999809265136719e-01
7.113751173019409180e-01,5.199999809265136719e-01
6.971874833106994629e-01,6.399999856948852539e-01
7.375341057777404785e-01,5.000000000000000000e-01
7.409684062004089355e-01,4.799999892711639404e-01
7.389246225357055664e-01,5.000000000000000000e-01
7.169548869132995605e-01,4.799999892711639404e-01
6.836653351783752441e-01,6.399999856948852539e-01
7.294697761535644531e-01,5.199999809265136719e-01
7.440193295478820801e-01,4.799999892711639404e-01
6.965832710266113281e-01,6.000000238418579102e-01
7.607753872871398926e-01,5.400000214576721191e-01
6.680575609207153320e-01,7.200000286102294922e-01
7.651472687721252441e-01,5.000000000000000000e-01
7.724879980087280273e-01,5.199999809265136719e-01
7.098578810691833496e-01,6.000000238418579102e-01
7.065048813819885254e-01,5.799999833106994629e-01
6.946612000465393066e-01,6.399999856948852539e-01
7.054857015609741211e-01,6.000000238418579102e-01
7.328073382377624512e-01,4.799999892711639404e-01
7.300726175308227539e-01,5.400000214576721191e-01
9.545416235923767090e-01,4.799999892711639404e-01
8.457877039909362793e-01,5.199999809265136719e-01
8.502854108810424805e-01,4.600000083446502686e-01
8.227202892303466797e-01,5.400000214576721191e-01
7.323027849197387695e-01,6.000000238418579102e-01
6.909747719764709473e-01,6.200000047683715820e-01
7.598007917404174805e-01,5.000000000000000000e-01
6.595252156257629395e-01,5.799999833106994629e-01
7.997163534164428711e-01,4.600000083446502686e-01
8.581265807151794434e-01,3.600000143051147461e-01
7.377230525016784668e-01,5.799999833106994629e-01
7.459050416946411133e-01,5.400000214576721191e-01
6.952248215675354004e-01,5.799999833106994629e-01
7.646631598472595215e-01,4.799999892711639404e-01
8.350813984870910645e-01,4.000000059604644775e-01
7.712898254394531250e-01,5.000000000000000000e-01
7.198445200920104980e-01,5.600000023841857910e-01
7.708650827407836914e-01,4.799999892711639404e-01
6.889935135841369629e-01,5.799999833106994629e-01
7.753847241401672363e-01,4.600000083446502686e-01
7.546226978302001953e-01,4.799999892711639404e-01
7.209155559539794922e-01,5.199999809265136719e-01
7.673975825309753418e-01,4.799999892711639404e-01
6.808285713195800781e-01,6.000000238418579102e-01
7.426484823226928711e-01,4.799999892711639404e-01
7.463956475257873535e-01,4.399999976158142090e-01
7.069159746170043945e-01,5.799999833106994629e-01
7.399672269821166992e-01,4.600000083446502686e-01
7.240615487098693848e-01,6.800000071525573730e-01
7.128333449363708496e-01,6.000000238418579102e-01
7.112081646919250488e-01,5.199999809265136719e-01
7.288020849227905273e-01,5.400000214576721191e-01
7.122465968132019043e-01,5.600000023841857910e-01
7.544878721237182617e-01,4.799999892711639404e-01
7.169033885002136230e-01,6.200000047683715820e-01
7.190284132957458496e-01,5.199999809265136719e-01
7.286711931228637695e-01,5.199999809265136719e-01
6.938151121139526367e-01,7.200000286102294922e-01
7.585986256599426270e-01,4.000000059604644775e-01
7.181130647659301758e-01,5.799999833106994629e-01
7.178481221199035645e-01,5.400000214576721191e-01
7.247571945190429688e-01,6.000000238418579102e-01
7.046869397163391113e-01,5.000000000000000000e-01
7.413222789764404297e-01,4.600000083446502686e-01
7.278890609741210938e-01,6.200000047683715820e-01
7.180225849151611328e-01,6.000000238418579102e-01
7.053645849227905273e-01,6.200000047683715820e-01
7.274879813194274902e-01,5.000000000000000000e-01
7.077862024307250977e-01,5.199999809265136719e-01
7.555884718894958496e-01,5.400000214576721191e-01
6.931622624397277832e-01,7.200000286102294922e-01
7.213957309722900391e-01,5.600000023841857910e-01
7.262443900108337402e-01,5.000000000000000000e-01
7.026214599609375000e-01,5.600000023841857910e-01
7.533923983573913574e-01,4.399999976158142090e-01
